Frame,X,Y,Z,Roll,Pitch,Yaw
363,-43.9727,0.0000,0.0000,0.0000,22.4621,0.0000
364,-44.0772,0.0000,0.0000,0.0000,22.5149,0.0000
365,-44.2353,0.0000,0.0000,0.0000,22.6049,0.0000
366,-44.3986,0.0000,0.0000,0.0000,22.6853,0.0000
367,-44.3986,0.0000,0.0000,0.0000,22.7462,0.0000
368,-44.3986,0.0000,0.0000,0.0000,22.7815,0.0000
369,-44.3986,0.0000,0.0000,0.0000,22.7813,0.0000
370,-44.3986,0.0000,0.0000,0.0000,22.7864,0.0000
371,-44.3986,0.0000,0.0000,0.0000,22.7890,0.0000
372,-44.3986,0.0000,0.0000,0.0000,22.7917,0.0000
373,-44.3986,0.0000,0.0000,0.0000,22.7943,0.0000
374,-44.3986,0.0000,0.0000,0.0000,22.7960,0.0000
375,-44.3986,0.0000,0.0000,0.0000,22.7944,0.0000
376,-44.3986,0.0000,0.0000,0.0000,22.7930,0.0000
377,-44.3986,0.0000,0.0000,0.0000,22.7931,0.0000
378,-44.3986,0.0000,0.0000,0.0000,22.7866,0.0000
379,-44.2739,0.0000,0.0000,0.0000,22.7595,0.0000
380,-44.0225,0.0000,0.0000,0.0000,22.6664,0.0000
381,-43.6124,0.0000,0.0000,0.0000,22.5059,0.0000
382,-43.0092,0.0000,0.0000,0.0000,22.2017,0.0000
383,-41.8072,0.0000,0.0000,0.0000,21.8221,0.0000
384,-40.9693,0.0000,0.0000,0.0000,20.4536,0.0000
385,-40.0383,0.0000,0.0000,0.0000,20.2096,0.0000
386,-38.4361,0.0000,0.0000,0.0000,19.9134,0.0000
387,-37.0530,0.0000,0.0000,0.0000,19.0226,0.0000
388,-35.8358,0.0000,0.0000,0.0000,18.1728,0.0000
389,-34.6257,0.0000,0.0000,0.0000,17.4532,0.0000
390,-33.4165,0.0000,0.0000,0.0000,16.7077,0.0000
391,-32.1710,0.0000,0.0000,0.0000,15.8834,0.0000
392,-30.9293,0.0000,0.0000,0.0000,15.0937,0.0000
393,-29.7938,0.0000,0.0000,0.0000,14.3761,0.0000
394,-28.5051,0.0000,0.0000,0.0000,13.5971,0.0000
395,-27.1202,0.0000,0.0000,0.0000,12.8457,0.0000
396,-25.9082,0.0000,0.0000,0.0000,12.1471,0.0000
397,-24.5942,0.0000,0.0000,0.0000,11.3797,0.0000
398,-23.2567,0.0000,0.0000,0.0000,10.6065,0.0000
399,-21.9339,0.0000,0.0000,0.0000,9.8379,0.0000
400,-20.6404,0.0000,0.0000,0.0000,9.0913,0.0000
401,-19.4482,0.0000,0.0000,0.0000,8.4137,0.0000
402,-18.1076,0.0000,0.0000,0.0000,7.6220,0.0000
403,-16.6818,0.0000,0.0000,0.0000,6.8297,0.0000
404,-15.4027,0.0000,0.0000,0.0000,6.1574,0.0000
405,-13.9726,0.0000,0.0000,0.0000,5.4511,0.0000
406,-12.4915,0.0000,0.0000,0.0000,4.6752,0.0000
407,-11.1371,0.0000,0.0000,0.0000,3.9795,0.0000
408,-9.8182,0.0000,0.0000,0.0000,3.2555,0.0000
409,-8.4871,0.0000,0.0000,0.0000,2.4534,0.0000
410,-7.2137,0.0000,0.0000,0.0000,1.6700,0.0000
411,-5.8190,0.0000,0.0000,0.0000,0.7634,0.0000
412,-4.2308,0.0000,0.0000,0.0000,0.0155,0.0000
413,-3.1930,0.0000,0.0000,0.0000,-0.4285,0.0000
414,-1.6073,0.0000,0.0000,0.0000,-1.1661,0.0000
415,-0.0756,0.0000,0.0000,0.0000,-2.1108,0.0000
416,1.3047,0.0000,0.0000,0.0000,-2.8237,0.0000
417,2.6487,0.0000,0.0000,0.0000,-3.5547,0.0000
